"検索件数：11件"
"受渡日：2024/1/1-2024/5/12"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"米国株式","96,295.99円(644.23USD)"
"外貨建MMF","66.54円(0.43USD)"
"外貨建債券","7,343.67円(49.7USD)"
"合計","103,706.21円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/5/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","19,627.17円"
"2024/5/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","3,020.57円"
"2024/4/30","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","18,245","66.54円"
"2024/4/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","18,805.74円"
"2024/4/8","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,918.8円"
"2024/3/21","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","140","5,579.77円"
"2024/3/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","20,173.64円"
"2024/3/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,670.97円"
"2024/2/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","20,793.8円"
"2024/2/7","特定/一般","外貨建債券","インテル 20320805 Green",,"7,343.67円"
"2024/2/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,705.49円"

